date	Lucky Charms	Frosted Flakes	Count Chocula	Honey Nut Cheerios	Capn Crunch	Wheaties	Reeses_Puffs	Rice Krispies	Corn Flakes	Raisin Bran	Cookie Crisp	Apple Jacks	Grape-Nuts	Trix	Honeycomb
20140629	26.66666667	20	6.666666667	20	0	13.33333333	0	120	106.6666667	20	13.33333333	6.666666667	0	13.33333333	33.33333333
20140706	28.57142857	21.42857143	7.142857143	14.28571429	0	14.28571429	0	100	114.2857143	21.42857143	14.28571429	7.142857143	0	14.28571429	35.71428571
20140713	20	20	6.666666667	13.33333333	0	20	0	106.6666667	106.6666667	26.66666667	13.33333333	6.666666667	0	13.33333333	33.33333333
20140720	28.57142857	28.57142857	7.142857143	14.28571429	7.142857143	14.28571429	0	114.2857143	114.2857143	28.57142857	14.28571429	7.142857143	0	21.42857143	35.71428571
20140727	26.66666667	20	6.666666667	13.33333333	0	13.33333333	0	100	93.33333333	20	13.33333333	6.666666667	0	13.33333333	33.33333333
20140803	23.52941176	23.52941176	11.76470588	11.76470588	0	11.76470588	0	88.23529412	82.35294118	17.64705882	11.76470588	5.882352941	0	17.64705882	35.29411765
20140810	28.57142857	21.42857143	7.142857143	14.28571429	0	21.42857143	0	100	92.85714286	21.42857143	14.28571429	7.142857143	0	14.28571429	42.85714286
20140817	26.66666667	20	13.33333333	13.33333333	0	20	0	100	86.66666667	20	13.33333333	6.666666667	0	13.33333333	33.33333333
20140824	23.07692308	23.07692308	15.38461538	7.692307692	0	15.38461538	0	100	107.6923077	23.07692308	15.38461538	7.692307692	0	15.38461538	38.46153846
20140831	28.57142857	21.42857143	14.28571429	14.28571429	7.142857143	21.42857143	0	114.2857143	107.1428571	21.42857143	7.142857143	14.28571429	0	14.28571429	35.71428571
20140907	28.57142857	21.42857143	14.28571429	14.28571429	0	14.28571429	0	107.1428571	92.85714286	21.42857143	14.28571429	7.142857143	0	14.28571429	35.71428571
20140914	28.57142857	21.42857143	21.42857143	14.28571429	0	14.28571429	0	114.2857143	107.1428571	28.57142857	14.28571429	7.142857143	0	14.28571429	35.71428571
20140921	28.57142857	21.42857143	28.57142857	7.142857143	7.142857143	21.42857143	0	114.2857143	100	21.42857143	14.28571429	7.142857143	0	21.42857143	28.57142857
20140928	28.57142857	21.42857143	28.57142857	14.28571429	0	14.28571429	0	121.4285714	107.1428571	21.42857143	21.42857143	7.142857143	0	21.42857143	28.57142857
20141005	31.25	18.75	25	12.5	6.25	12.5	0	106.25	87.5	18.75	12.5	6.25	0	18.75	25
20141012	57.14285714	21.42857143	21.42857143	14.28571429	0	21.42857143	0	135.7142857	107.1428571	21.42857143	21.42857143	14.28571429	0	14.28571429	35.71428571
20141019	35.71428571	21.42857143	50	7.142857143	0	21.42857143	0	135.7142857	121.4285714	21.42857143	14.28571429	7.142857143	0	21.42857143	35.71428571
20141026	35.71428571	21.42857143	35.71428571	7.142857143	7.142857143	14.28571429	0	164.2857143	107.1428571	21.42857143	14.28571429	14.28571429	0	14.28571429	28.57142857
20141102	30.76923077	23.07692308	23.07692308	15.38461538	0	23.07692308	0	123.0769231	115.3846154	23.07692308	15.38461538	15.38461538	0	23.07692308	46.15384615
20141109	30.76923077	23.07692308	15.38461538	15.38461538	7.692307692	15.38461538	0	146.1538462	115.3846154	30.76923077	15.38461538	7.692307692	0	15.38461538	46.15384615
